urn:lsid:ipni.org:names:327213-2,Schizanthus alpestris,Poepp.,spec.,Solanaceae,,urn:lsid:ipni.org:names:30033816-2,urn:lsid:ipni.org:publications:18768-2,1829,Not. Natur- Heilk. 23: 291 (adnote). 1829 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327213-2
urn:lsid:ipni.org:names:327214-2,Malesherbia humilis,Poepp.,spec.,Malesherbiaceae,,urn:lsid:ipni.org:names:30029553-2,urn:lsid:ipni.org:publications:18768-2,1829,Not. Natur- Heilk. 23: 291 (adnote). 1829 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327214-2
urn:lsid:ipni.org:names:327215-1,Brossaea rupestris,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327215-1
urn:lsid:ipni.org:names:327215-2,Kupea,Cheek & S.A.Williams,gen.,Triuridaceae,,urn:lsid:ipni.org:names:30035049-2,urn:lsid:ipni.org:publications:987-2,2003,Kew Bull. 58(1): 225. 2003 [16 Apr 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327215-2
urn:lsid:ipni.org:names:327216-2,Echites puberulus,Michx.,spec.,Apocynaceae,,urn:lsid:ipni.org:names:30002973-2,urn:lsid:ipni.org:publications:1265-2,1803,Fl. Bor.-Amer. (Michaux) 1: 120. 1803 [19 Mar 1803] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327216-2
urn:lsid:ipni.org:names:327217-2,Tabernaemontana populifolia,Poir.,spec.,Apocynaceae,,urn:lsid:ipni.org:names:328993-2,urn:lsid:ipni.org:publications:15197-2,1817,Encycl. [J. Lamarck & al.] Suppl. 5. 276. 1817 [1 Nov 1817] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327217-2
urn:lsid:ipni.org:names:327218-2,Echites salicifolius,Raf.,spec.,Apocynaceae,,urn:lsid:ipni.org:names:30002973-2,urn:lsid:ipni.org:publications:14618-2,1836,New Fl. [Rafinesque] 4: 59. 1836 [late 1838] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327218-2
urn:lsid:ipni.org:names:327219-2,Echites salicifolius,Willd. ex Roem. & Schult.,spec.,Apocynaceae,,urn:lsid:ipni.org:names:30002973-2,urn:lsid:ipni.org:publications:14665-2,1819,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 4: 796. 1819 ",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327219-2
urn:lsid:ipni.org:names:32722-1,Talinium,Raf.,gen.,Portulacaceae,,urn:lsid:ipni.org:names:50000307-1,urn:lsid:ipni.org:publications:5758-2,1818,Amer. Monthly Mag. & Crit. Rev. 2(3): 175. 1818 [Jan 1818] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:32722-1
urn:lsid:ipni.org:names:32722-2,Bifrenaria wittigii,(Rchb.f.) Hoehne,spec.,Orchidaceae,urn:lsid:ipni.org:names:315916-2,urn:lsid:ipni.org:names:30005972-2,urn:lsid:ipni.org:publications:4741-2,1953,"Fl. Bras. (Hoehne) 12, pt. 7: 30. 1953 ",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:32722-2
urn:lsid:ipni.org:names:327220-2,Dorstenia,L.,gen.,Moraceae,,urn:lsid:ipni.org:names:30000043-2,urn:lsid:ipni.org:publications:1071-2,1753,Sp. Pl. 1: 121. 1753 [1 May 1753] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327220-2
urn:lsid:ipni.org:names:327221-2,Miconia,Ruiz & Pav.,gen.,Melastomataceae,,urn:lsid:ipni.org:names:30000188-2,urn:lsid:ipni.org:publications:8785-2,1794,Fl. Peruv. Prodr. 60. 1794 [Oct 1794] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327221-2
